Plot ,Code,Description,,
71,PLPLMNC1P,Plough low pressure low moisture no cover crop 1 Pass,,
72,PHPLMNC1P,Plough high pressure low moisture no cover crop 1 Pass,,
73,PHPHMNC1P,Plough high pressure high moisture no cover crop 1 Pass,,
74,PLPHMNC1P,Plough low pressure high moisture no cover crop 1 Pass,,
75,PHPHMCC1P,Plough high pressure high moisture cover crop 1 Pass,,
76,PHPLMCC3P,Plough high pressure low moisture cover crop 3 Passes,,
77,PLPHMCC3P,Plough low pressure high moisture cover crop 3 Passes,,
78,PHPLMCC1P,Plough high pressure low moisture cover crop 1 Pass,,
79,PLPLMCC1P,Plough low pressure low moisture cover crop 1 Pass,,
80,PLPLMNC3P,Plough low pressure low moisture no cover crop 3 Passes,,
81,MLPLMCC3P,Min Till low pressure low moisture cover crop 3 Passes,,
82,MHPHMNC1P,Min Till high pressure high moisture no cover crop 1 Pass,,
83,MHPLMNC3P,Min Till high pressure low moisture no cover crop 3 Passes,,
84,MHPHMNC3P,Min Till high pressure high moisture no cover crop 3 Passes,,
85,MHPLMCC1P,Min Till high pressure low moisture cover crop 1 Pass,,
86,MLPHMCC1P,Min Till low pressure high moisture cover crop 1 Pass,,
87,MHPLMNC1P,Min Till high pressure low moisture no cover crop 1 Pass,,
88,MHPLMCC3P,Min Till high pressure low moisture cover crop 3 Passes,,
89,MLPHMNC3P,Min Till low pressure high moisture no cover crop 3 Passes ,,
90,MLPLMNC3P,Min Till low pressure low moisture no cover crop 3 Passes,,
91,MLPHMCC3P,Min Till low pressure high moisture cover crop 3 Passes,,
92,MLPLMNC1P,Min Till low pressure low moisture no cover crop 1 Pass,,
93,MLPHMNC1P,Min Till low pressure high moisture no cover crop 1 Pass,,
94,MHPHMCC3P,Min Till high pressure high moisture cover crop 3 Passes,,
95,MHPHMCC1P,Min Till high pressure high moisture cover crop 1 Pass,,
96,MLPLMCC1P,Min Till low pressure low moisture cover crop 1 Pass,,
